triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
1,568,184,-4.851419965673263,568,180,-4.8556663215617695,564,180,-4.858287971155773
2,564,180,-4.858287971155773,564,184,-4.856971931117547,568,184,-4.851419965673263
3,564,180,-4.858287971155773,560,184,-4.853710884990725,564,184,-4.856971931117547
4,568,184,-4.851419965673263,572,184,-4.832775863337628,568,180,-4.8556663215617695
5,572,184,-4.832775863337628,572,180,-4.8406204248277565,568,180,-4.8556663215617695
6,568,176,-4.857584427840385,564,176,-4.857526258860153,568,180,-4.8556663215617695
7,568,180,-4.8556663215617695,564,176,-4.857526258860153,564,180,-4.858287971155773
8,564,180,-4.858287971155773,560,180,-4.852612260952378,560,184,-4.853710884990725
9,572,180,-4.8406204248277565,568,176,-4.857584427840385,568,180,-4.8556663215617695
10,564,176,-4.857526258860153,560,180,-4.852612260952378,564,180,-4.858287971155773
11,560,184,-4.853710884990725,564,188,-4.8513723792148635,564,184,-4.856971931117547
12,564,184,-4.856971931117547,564,188,-4.8513723792148635,568,184,-4.851419965673263
13,568,184,-4.851419965673263,568,188,-4.842722939430934,572,184,-4.832775863337628
14,564,188,-4.8513723792148635,568,188,-4.842722939430934,568,184,-4.851419965673263
15,564,176,-4.857526258860153,560,176,-4.849762206838574,560,180,-4.852612260952378
16,560,184,-4.853710884990725,560,188,-4.850801189107515,564,188,-4.8513723792148635
17,572,180,-4.8406204248277565,572,176,-4.846217033004957,568,176,-4.857584427840385
18,568,188,-4.842722939430934,572,188,-4.820514850287564,572,184,-4.832775863337628
19,556,180,-4.844363398556245,556,184,-4.84770622060339,560,180,-4.852612260952378
20,560,180,-4.852612260952378,556,184,-4.84770622060339,560,184,-4.853710884990725
21,560,184,-4.853710884990725,556,184,-4.84770622060339,560,188,-4.850801189107515
22,560,176,-4.849762206838574,556,180,-4.844363398556245,560,180,-4.852612260952378
23,572,188,-4.820514850287564,576,184,-4.799117133318353,572,184,-4.832775863337628
24,572,184,-4.832775863337628,576,184,-4.799117133318353,572,180,-4.8406204248277565
25,572,180,-4.8406204248277565,576,180,-4.811554017023834,572,176,-4.846217033004957
26,576,184,-4.799117133318353,576,180,-4.811554017023834,572,180,-4.8406204248277565
27,560,188,-4.850801189107515,564,192,-4.839300616058914,564,188,-4.8513723792148635
28,564,188,-4.8513723792148635,564,192,-4.839300616058914,568,188,-4.842722939430934
29,568,188,-4.842722939430934,568,192,-4.827493484551944,572,188,-4.820514850287564
30,564,192,-4.839300616058914,568,192,-4.827493484551944,568,188,-4.842722939430934
31,572,176,-4.846217033004957,568,172,-4.843881581295453,568,176,-4.857584427840385
32,568,176,-4.857584427840385,568,172,-4.843881581295453,564,176,-4.857526258860153
33,564,176,-4.857526258860153,564,172,-4.820748028315581,560,176,-4.849762206838574
34,568,172,-4.843881581295453,564,172,-4.820748028315581,564,176,-4.857526258860153
35,572,192,-4.801874790316354,576,188,-4.782455587182831,572,188,-4.820514850287564
36,572,188,-4.820514850287564,576,188,-4.782455587182831,576,184,-4.799117133318353
37,556,188,-4.847412252482228,560,192,-4.84175576251648,560,188,-4.850801189107515
38,560,188,-4.850801189107515,560,192,-4.84175576251648,564,192,-4.839300616058914
39,556,184,-4.84770622060339,556,188,-4.847412252482228,560,188,-4.850801189107515
40,568,192,-4.827493484551944,572,192,-4.801874790316354,572,188,-4.820514850287564
41,560,172,-4.790542214647633,556,176,-4.8398253218340885,560,176,-4.849762206838574
42,560,176,-4.849762206838574,556,176,-4.8398253218340885,556,180,-4.844363398556245
43,576,176,-4.82153591649949,572,172,-4.851265941588247,572,176,-4.846217033004957
44,572,176,-4.846217033004957,572,172,-4.851265941588247,568,172,-4.843881581295453
45,564,172,-4.820748028315581,560,172,-4.790542214647633,560,176,-4.849762206838574
46,576,180,-4.811554017023834,576,176,-4.82153591649949,572,176,-4.846217033004957
47,556,176,-4.8398253218340885,552,180,-4.838878799438463,556,180,-4.844363398556245
48,556,180,-4.844363398556245,552,180,-4.838878799438463,556,184,-4.84770622060339
49,556,184,-4.84770622060339,552,184,-4.843688973899034,556,188,-4.847412252482228
50,580,184,-4.74961691061467,580,180,-4.767008840563558,576,184,-4.799117133318353
51,576,184,-4.799117133318353,580,180,-4.767008840563558,576,180,-4.811554017023834
52,576,180,-4.811554017023834,580,180,-4.767008840563558,576,176,-4.82153591649949
53,568,168,-4.756988916055097,564,168,-4.731763753066296,568,172,-4.843881581295453
54,568,172,-4.843881581295453,564,168,-4.731763753066296,564,172,-4.820748028315581
55,564,172,-4.820748028315581,564,168,-4.731763753066296,560,172,-4.790542214647633
56,572,172,-4.851265941588247,568,168,-4.756988916055097,568,172,-4.843881581295453
57,580,176,-4.782102072864299,576,172,-4.830689237668656,576,176,-4.82153591649949
58,576,176,-4.82153591649949,576,172,-4.830689237668656,572,172,-4.851265941588247
59,572,172,-4.851265941588247,572,168,-4.77215267400235,568,168,-4.756988916055097
60,560,168,-4.700111823538202,556,172,-4.758602634416802,560,172,-4.790542214647633
61,560,172,-4.790542214647633,556,172,-4.758602634416802,556,176,-4.8398253218340885
62,556,176,-4.8398253218340885,552,176,-4.823881748286949,552,180,-4.838878799438463
63,564,192,-4.839300616058914,568,196,-4.803907636547122,568,192,-4.827493484551944
64,568,192,-4.827493484551944,568,196,-4.803907636547122,572,192,-4.801874790316354
65,564,196,-4.818814215694175,568,196,-4.803907636547122,564,192,-4.839300616058914
66,572,196,-4.775180310699969,576,192,-4.760036624875915,572,192,-4.801874790316354
67,572,192,-4.801874790316354,576,192,-4.760036624875915,576,188,-4.782455587182831
68,576,188,-4.782455587182831,580,184,-4.74961691061467,576,184,-4.799117133318353
69,552,180,-4.838878799438463,552,184,-4.843688973899034,556,184,-4.84770622060339
70,560,192,-4.84175576251648,564,196,-4.818814215694175,564,192,-4.839300616058914
71,580,188,-4.728412085243783,580,184,-4.74961691061467,576,188,-4.782455587182831
72,552,188,-4.84408485113307,556,192,-4.841070207798192,556,188,-4.847412252482228
73,556,188,-4.847412252482228,556,192,-4.841070207798192,560,192,-4.84175576251648
74,560,192,-4.84175576251648,560,196,-4.82456464848873,564,196,-4.818814215694175
75,564,168,-4.731763753066296,560,168,-4.700111823538202,560,172,-4.790542214647633
76,556,192,-4.841070207798192,560,196,-4.82456464848873,560,192,-4.84175576251648
77,568,196,-4.803907636547122,572,196,-4.775180310699969,572,192,-4.801874790316354
78,552,184,-4.843688973899034,552,188,-4.84408485113307,556,188,-4.847412252482228
79,576,192,-4.760036624875915,580,188,-4.728412085243783,576,188,-4.782455587182831
80,576,172,-4.830689237668656,572,168,-4.77215267400235,572,172,-4.851265941588247
81,556,172,-4.758602634416802,552,176,-4.823881748286949,556,176,-4.8398253218340885
82,580,180,-4.767008840563558,580,176,-4.782102072864299,576,176,-4.82153591649949
83,560,168,-4.700111823538202,556,168,-4.667164649382562,556,172,-4.758602634416802
84,556,172,-4.758602634416802,552,172,-4.729806957689455,552,176,-4.823881748286949
85,552,192,-4.837350606408491,556,196,-4.82654504057138,556,192,-4.841070207798192
